took 7000 seconds.
Refactoring Type	Source Method	Target Class	Similarity Indice
Move Method	org.apache.kafka.connect.runtime.AbstractHerder::maybeAddConfigErrors(ConfigInfos, Callback<Created<ConnectorInfo>>):boolean	org.apache.kafka.connect.runtime.rest.entities.ConfigInfos	0.8793103448275863
Move Method	org.apache.kafka.connect.runtime.Worker::resetSinkConnectorOffsets(String, String, Admin, Callback<Message>, boolean, Timer):void	org.apache.kafka.connect.runtime.Herder	0.661498708010336
Move Method	org.apache.kafka.connect.integration.ExactlyOnceSourceIntegrationTest::transactionalProducer(String, String):KafkaProducer<byte[],byte[]>	org.apache.kafka.connect.util.clusters.EmbeddedConnectCluster	1.0
Move Method	org.apache.kafka.connect.integration.ExactlyOnceSourceIntegrationTest::assertConnectorStarted(StartAndStopLatch):void	org.apache.kafka.connect.integration.StartAndStopLatch	1.0
Move Method	org.apache.kafka.connect.integration.RestExtensionIntegrationTest::extensionIsRegistered():boolean	org.apache.kafka.connect.util.clusters.EmbeddedConnectCluster	0.9754027926960257
Move Method	org.apache.kafka.connect.storage.KafkaConfigBackingStore::baseProducerProps(WorkerConfig):Map<String,Object>	org.apache.kafka.connect.runtime.WorkerConfig	0.6162779397473276
Move Method	org.apache.kafka.connect.runtime.Worker::startSourceTask(ConnectorTaskId, ClusterConfigState, Map<String,String>, Map<String,String>, TaskStatus.Listener, TargetState):boolean	org.apache.kafka.connect.storage.ClusterConfigState	1.0
Move Method	org.apache.kafka.connect.runtime.isolation.PluginScanner::pluginDesc(Class<? extends T>, String, PluginType, PluginSource):PluginDesc<T>	org.apache.kafka.connect.runtime.isolation.PluginType	0.863486842105263
Move Method	org.apache.kafka.connect.integration.ExactlyOnceSourceIntegrationTest::assertConnectorStopped(StartAndStopLatch):void	org.apache.kafka.connect.integration.StartAndStopLatch	1.0
Move Method	org.apache.kafka.connect.runtime.Worker::sourceTaskReporters(ConnectorTaskId, ConnectorConfig, ErrorHandlingMetrics):List<ErrorReporter<SourceRecord>>	org.apache.kafka.connect.runtime.errors.ErrorHandlingMetrics	0.5862731621102243
Move Method	org.apache.kafka.connect.runtime.distributed.DistributedHerder.ZombieFencing::addCallback(Callback<Void>):void	org.apache.kafka.connect.util.FutureCallback	0.7543859649122806
Move Method	org.apache.kafka.connect.runtime.WorkerSinkTask::poll(long):void	org.apache.kafka.connect.runtime.WorkerSinkTaskContext	1.0
Move Method	org.apache.kafka.connect.runtime.Worker::createWorkerErrantRecordReporter(SinkConnectorConfig, RetryWithToleranceOperator<ConsumerRecord<byte[],byte[]>>, Converter, Converter, HeaderConverter):WorkerErrantRecordReporter	org.apache.kafka.connect.runtime.SinkConnectorConfig	0.6505271378367823
Move Method	org.apache.kafka.connect.integration.ConnectorRestartApiIntegrationTest::assertNoRestartingState(ConnectorStateInfo):void	org.apache.kafka.connect.runtime.rest.entities.ConnectorStateInfo	0.1721674876847291
Move Method	org.apache.kafka.connect.runtime.AbstractWorkerSourceTask::maybeCreateTopic(String):void	org.apache.kafka.connect.util.TopicAdmin	0.6469963998265886
Move Method	org.apache.kafka.connect.runtime.WorkerTask.TaskMetricsGroup::addRatioMetric(State, MetricNameTemplate):void	org.apache.kafka.connect.runtime.StateTracker	1.0
Move Method	org.apache.kafka.connect.integration.ErrorHandlingIntegrationTest::checkForPartitionAssignment():boolean	org.apache.kafka.connect.integration.ConnectorHandle	0.7652423788105945
Move Method	org.apache.kafka.connect.integration.BlockingConnectorTest::assertRequestTimesOut(String, Executable, String):void	org.apache.kafka.connect.util.clusters.EmbeddedConnectCluster	0.8252470799640612
Move Method	org.apache.kafka.connect.runtime.ExactlyOnceWorkerSourceTask::buildTransactionManager(WorkerConfig, SourceConnectorConfig, WorkerTransactionContext):TransactionBoundaryManager	org.apache.kafka.connect.runtime.WorkerTransactionContext	1.0
