url_x,description_x,same_package,source_class_inner,target_class_inner,source_file_is_test,target_file_is_test,source_class_static,target_class_static,source_class_exists,target_class_exists,repository,sha1,method_count,source_java_file
https://github.com/YunaiV/ruoyi-vue-pro/commit/69503689912abe6e565fd71895bc0245bd72fc2c,"Move Method private setUserInfo(logList List<OperateLogV2DO>, userList List<AdminUserDO>) : List<OperateLogV2RespDTO> from class cn.iocoder.yudao.module.system.api.logger.OperateLogApiImpl to private setUserInfo(logList List<OperateLogV2DO>, userList List<AdminUserDO>) : List<OperateLogV2RespDTO> from class cn.iocoder.yudao.module.system.convert.logger.OperateLogConvert",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,69503689912abe6e565fd71895bc0245bd72fc2c,4,OperateLogApiImpl.java
https://github.com/YunaiV/ruoyi-vue-pro/commit/bbba83ef61527b3bd0a094bb5381d6cce1558f61,"Move Method public buildSortingField(func Func1<T,?>) : SortingField from class cn.iocoder.yudao.framework.mybatis.core.util.MyBatisUtils to public buildSortingField(func Func1<T,?>) : SortingField from class cn.iocoder.yudao.framework.common.util.object.PageUtils",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,bbba83ef61527b3bd0a094bb5381d6cce1558f61,8,MyBatisUtils.java
https://github.com/YunaiV/ruoyi-vue-pro/commit/bbba83ef61527b3bd0a094bb5381d6cce1558f61,"Move Method public buildSortingField(func Func1<T,?>, order String) : SortingField from class cn.iocoder.yudao.framework.mybatis.core.util.MyBatisUtils to public buildSortingField(func Func1<T,?>, order String) : SortingField from class cn.iocoder.yudao.framework.common.util.object.PageUtils",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,bbba83ef61527b3bd0a094bb5381d6cce1558f61,8,MyBatisUtils.java
https://github.com/YunaiV/ruoyi-vue-pro/commit/bbba83ef61527b3bd0a094bb5381d6cce1558f61,"Move Method public buildDefaultSortingField(sortablePageParam SortablePageParam, func Func1<T,?>) : void from class cn.iocoder.yudao.framework.mybatis.core.util.MyBatisUtils to public buildDefaultSortingField(sortablePageParam SortablePageParam, func Func1<T,?>) : void from class cn.iocoder.yudao.framework.common.util.object.PageUtils",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,bbba83ef61527b3bd0a094bb5381d6cce1558f61,8,MyBatisUtils.java
https://github.com/YunaiV/ruoyi-vue-pro/commit/5622ba8acf82e0a9246317ede1b58c7119fe7fc7,"Move Method public getTaskNameByTaskIds(taskIds Collection<String>) : Map<String,String> from class cn.iocoder.yudao.module.bpm.util.FlowableUtils to public getTaskNameByTaskIds(taskIds Collection<String>) : Map<String,String> from class cn.iocoder.yudao.module.bpm.service.task.BpmTaskServiceImpl",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,5622ba8acf82e0a9246317ede1b58c7119fe7fc7,10,FlowableUtils.java
https://github.com/YunaiV/ruoyi-vue-pro/commit/d8b2da8eed232143f04f90c43472bf51fb9e4e02,"Move Method public hasPermission(bizType Integer, bizId Long, userId Long, levelEnum CrmPermissionLevelEnum) : boolean from class cn.iocoder.yudao.module.crm.framework.permission.core.util.CrmPermissionUtils to public hasPermission(bizType Integer, bizId Long, userId Long, levelEnum CrmPermissionLevelEnum) : boolean from class cn.iocoder.yudao.module.crm.service.permission.CrmPermissionServiceImpl",False,False,False,False,False,False,False,True,True,https://github.com/YunaiV/ruoyi-vue-pro.git,d8b2da8eed232143f04f90c43472bf51fb9e4e02,4,CrmPermissionUtils.java
https://github.com/apache/flink/commit/752d3a79a918b9300dd2b89e96f3915ba6a2dfa6,"Move Method public getTaskManagerShellCommand(flinkConfig Configuration, tmParams ContaineredTaskManagerParameters, configDirectory String, logDirectory String, hasLogback boolean, hasLog4j boolean, hasKrb5 boolean, mainClass Class<?>, mainArgs String) : String from class org.apache.flink.runtime.clusterframework.BootstrapTools to public getTaskManagerShellCommand(flinkConfig Configuration, tmParams ContaineredTaskManagerParameters, configDirectory String, logDirectory String, hasLogback boolean, hasLog4j boolean, hasKrb5 boolean, mainClass Class<?>, mainArgs String) : String from class org.apache.flink.yarn.Utils",False,False,False,False,False,False,False,True,True,https://github.com/apache/flink.git,752d3a79a918b9300dd2b89e96f3915ba6a2dfa6,14,BootstrapTools.java
https://github.com/apache/flink/commit/752d3a79a918b9300dd2b89e96f3915ba6a2dfa6,"Move Method public getStartCommand(template String, startCommandValues Map<String,String>) : String from class org.apache.flink.runtime.clusterframework.BootstrapTools to public getStartCommand(template String, startCommandValues Map<String,String>) : String from class org.apache.flink.yarn.Utils",False,False,False,False,False,False,False,True,True,https://github.com/apache/flink.git,752d3a79a918b9300dd2b89e96f3915ba6a2dfa6,14,BootstrapTools.java
https://github.com/halo-dev/halo/commit/0e17d53ede66c57b12f2dec4c92874c7e69ed9ef,Move Method package identityFrom(owner Comment.CommentOwner) : UserIdentity from class run.halo.app.content.comment.CommentNotificationReasonPublisher to public identityFrom(owner Comment.CommentOwner) : UserIdentity from class run.halo.app.content.comment.ReplyNotificationSubscriptionHelper,True,False,False,False,False,False,False,True,True,https://github.com/halo-dev/halo.git,0e17d53ede66c57b12f2dec4c92874c7e69ed9ef,15,CommentNotificationReasonPublisher.java
https://github.com/halo-dev/halo/commit/f61f846a7f571f46e15930e4a0ce952a9c58932b,Move Method public buildParameters(builder Builder) : void from class run.halo.app.core.extension.attachment.endpoint.AttachmentEndpoint.ISearchRequest to public buildParameters(builder Builder) : void from class run.halo.app.core.extension.attachment.endpoint.AttachmentEndpoint.SearchRequest,True,True,True,False,False,False,True,True,True,https://github.com/halo-dev/halo.git,f61f846a7f571f46e15930e4a0ce952a9c58932b,5,AttachmentEndpoint.java
https://github.com/elastic/elasticsearch/commit/1d525752af4f4c768d3a13604f13e5d3005d284a,Move Method private assertNotSuccess(shardState ShardState) : ShardState from class org.elasticsearch.cluster.SnapshotsInProgress.ShardSnapshotStatus to private assertNotSuccess(shardState ShardState) : ShardState from class org.elasticsearch.cluster.SnapshotsInProgress,True,True,False,False,False,False,False,False,True,https://github.com/elastic/elasticsearch.git,1d525752af4f4c768d3a13604f13e5d3005d284a,12,SnapshotsInProgress.java
